gse.HCCDB18.risk.score	group
GSM773726	-0.47974887912516	Low
GSM773727	-0.379733111019541	Low
GSM773728	-0.237189611563535	Low
GSM773729	-1.05237762549046	Low
GSM773730	-0.485080887592157	Low
GSM773731	-0.4220778191949	Low
GSM773732	0.100651807714889	High
GSM773733	1.48799387608315	High
GSM773734	0.264567824109441	High
GSM773735	0.437282414899697	High
GSM773736	-0.0891964171234106	Low
GSM773737	0.620658605536457	High
GSM773738	0.0279405784800003	High
GSM773739	-1.34147587872514	Low
GSM773740	0.40705109695729	High
GSM773741	1.19394606019447	High
GSM773742	1.33468631783803	High
GSM773743	-0.681893932723486	Low
GSM773744	-0.0530313026516212	Low
GSM773745	-0.0266836412728438	Low
GSM773746	-1.33232227918167	Low
GSM773747	1.13882846127894	High
GSM773748	-1.16020144031265	Low
GSM773749	-0.74534600146215	Low
GSM773750	-0.912375457940804	Low
GSM773751	1.08072663086091	High
GSM773752	1.33502855835674	High
GSM773753	-0.750657942376823	Low
GSM773754	-0.189310299816153	Low
GSM773755	0.305954980921541	High
GSM773756	-1.28594753077648	Low
GSM773757	-0.647436478686826	Low
GSM773758	-0.871960628295663	Low
GSM773759	-0.589200634152795	Low
GSM773760	0.0155454295509253	High
GSM773761	-1.22335682372299	Low
GSM773762	-0.67650457750741	Low
GSM773763	1.41965846052344	High
GSM773764	-0.240535418372796	Low
GSM773765	-0.444991950285873	Low
